Time,API Key Name,Model,Reasoning Effort,Inbound Endpoint,IP Address,Type,Billing Mode,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens,Rate Multiplier,Billed Cost,Original Cost,F[...]
2026-09-10T22:49:58.043292+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,272151,176,0,0,0.1,0.05457100,0.54571000,7226,7449
2026-09-10T22:49:42.764647+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,252161,357,19584,0,0.1,0.05079614,0.50796136,11066,12179
2026-09-10T22:49:26.798611+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,271536,166,0,0,0.1,0.05444000,0.54440000,7531,8097
2026-09-10T22:49:15.976329+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,1143,1304,269056,0,0.1,0.00234802,0.02348024,5200,10029
2026-09-10T22:49:02.113151+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,249753,329,19584,0,0.1,0.05029214,0.50292136,7823,8544
2026-09-10T22:48:49.562348+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,249434,145,19584,0,0.1,0.05008114,0.50081136,6907,7617
2026-09-10T22:46:17.486142+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,240d:1a:9fa:1500:****:****:****:****,Stream,按量,8902,131,170624,0,0.1,0.00256770,0.02567696,4372,4944
2026-09-10T22:41:33.426073+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,1239,349,177920,0,0.1,0.00123868,0.01238680,4251,5689
2026-09-10T22:40:50.554306+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,178439,685,0,0,0.1,0.03623580,0.36235800,6298,9867
2026-09-10T22:40:33.225471+08:00,mm,deepseek-v4.1-flash-0910,"'-",/v1/chat/completions,2400:2410:8781:4f00:****:****:****:****,Stream,按量,178038,261,0,0,0.1,0.03581640,0.35816400,15699,16611
